gene_name,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240
PDK2,10.01075121,9.842003284,12.02105052,8.01675895,8.670599455,9.709601566,10.03891565,10.11068739,9.352554189,9.270239045,7.972513192,9.965080984
ITGA3,80.00175008,95.24057228,89.93399246,91.30331827,90.53153327,94.16687086,89.87149148,84.92184937,91.89568353,80.82095526,80.98762274,75.3963237
ZFX,10.90891621,8.788564784,10.35650528,8.663824346,9.630076608,9.846909298,9.14613159,9.49811954,10.11693834,9.914891831,10.08980806,10.16060673
LAMP2,160.4075796,134.4678392,145.8494371,144.8988722,140.7050909,140.4594632,139.3895864,139.726578,130.7606187,132.4075546,129.7861544,131.1991486
ITGA2B,0.147953859,0.177279192,0.222081338,0.572834216,0.814167612,0.237648312,0.378198334,0.267945001,0.319253034,0.771819973,0.40118217,0.39188239
ASB4,40.36759049,38.13965912,37.48128842,38.40396437,39.1823772,34.8929869,38.2860638,38.67874216,36.42833369,44.48515206,51.58753273,48.86885958
GDE1,92.12908196,91.99134391,83.69266749,90.49533742,87.42023086,89.32795404,87.02443805,85.33483692,88.62944198,74.40103807,79.01228426,85.55240192
REX1BD,14.25164452,19.77267951,11.16510632,19.36077661,15.45208729,14.8593662,15.97803791,12.45208795,14.48967586,12.44108259,13.0661797,9.271448957
CRLF1,0.567979258,0.680556117,0.745978475,0.733016708,1.081905083,1.1403835,1.088897629,0.900036017,0.962954708,1.481467726,0.56003492,0.32237039
OSBPL7,1.709468916,2.304332774,3.608357101,3.088663828,2.387917507,3.758320187,2.253141605,2.031654642,3.319804071,2.109369639,3.413256039,2.086038587
TMEM98,42.12715404,40.87469633,41.08558271,39.41332058,42.97619557,42.26951154,39.70713382,45.37830934,42.1625205,38.26381271,39.60250981,36.94108618
YBX2,19.83223881,16.78678146,17.95671004,18.70696311,18.94630499,20.45746052,19.94080522,19.02902752,17.94758088,18.25288916,18.29902914,17.34910984
KRT33A,0,0,0.242661784,0,0,0,0,0,0,0,0,0
MAP3K14,2.874067235,3.087477062,2.677670895,3.453377762,5.159982263,4.059266293,2.517499427,3.365267242,3.345212727,3.877483014,5.240212062,3.656242158
ABCC8,0.647053269,0.748568477,0.602837569,0.777476372,0.850019166,0.564457219,0.663022569,0.818250775,0.639640098,0.24174203,0.528002417,0.481225136
CACNG3,0,0.108981541,0,0,0,0,0,0,0,0,0,0
TMEM132A,8.498207048,10.46030944,9.871371917,8.724169078,8.093828493,8.795005814,8.44236364,7.397830276,8.216075344,8.09135941,7.62710602,7.147347481
AP2B1,96.71756712,86.05117041,94.01093455,84.37576586,84.57416362,88.25405524,81.92875226,89.85617309,80.95552074,79.19525364,84.65721642,85.89062397
TAC1,2.624913485,1.572593457,1.477515443,2.117270807,2.291675505,3.952707763,1.572604782,1.336986079,1.517144551,10.86238816,11.16160717,12.10489518
ZNF263,17.1511019,17.92260424,16.83901483,16.92652692,15.09558636,18.07220214,16.94512967,15.43105636,18.65971695,16.89790505,17.0301498,16.83002013
CX3CL1,0.188500499,0.56465604,0.795775935,0.91227373,0.359061788,0.567704336,0.993801787,0.384047008,0.784435008,0.510578636,0.557591814,0.96289223
SPATA20,63.25662788,81.15430855,72.21913878,71.24566675,75.04931824,69.67371392,74.15551994,73.48104216,76.55300474,66.3308966,67.6386975,65.592861
CACNA1G,3.461275305,3.511844065,3.708032198,3.782554166,3.225679969,3.833442997,3.291123282,3.867187721,3.020176129,2.822678153,2.270654402,2.40813437
TNFRSF12A,312.3263537,398.8158277,354.8563552,422.6934104,397.3915038,392.9128407,359.7016876,341.8517133,362.7578001,318.9053529,341.4510631,310.3706411
