"","x"
"1","ENSG00000169429"
"2","ENSG00000204389"
"3","ENSG00000133112"
"4","ENSG00000109846"
"5","ENSG00000115758"
"6","ENSG00000186081"
"7","ENSG00000186847"
"8","ENSG00000166592"
"9","ENSG00000204388"
"10","ENSG00000132002"
"11","ENSG00000096384"
"12","ENSG00000142534"
"13","ENSG00000099860"
"14","ENSG00000163395"
"15","ENSG00000112306"
"16","ENSG00000067082"
"17","ENSG00000188293"
"18","ENSG00000184205"
"19","ENSG00000185479"
"20","ENSG00000150991"
