,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
ENSG00000139190,1.125619557,1.132926974,1.113715051,8.846518917,9.911127572,11.04461764,12.65058994,11.12483672,10.41031742,8.167984826,8.355574948,11.47101804
ENSG00000139192,4.502478227,3.398780923,4.454860203,3.317444594,3.303709191,4.417847055,2.976609399,5.933246248,4.46156461,3.06299431,10.44446868,2.085639643
ENSG00000139194,0,0,0,3.317444594,3.303709191,1.104461764,0.74415235,0.741655781,1.487188203,2.041996206,0,1.042819821
ENSG00000139197,22.51239114,22.65853949,20.04687091,44.23259459,31.93585551,28.71600586,20.09211344,17.05808296,17.84625844,26.54595068,27.15561858,28.15613518
ENSG00000139211,15.7586738,16.99390462,15.59201071,4.423259459,6.607418381,5.522308819,6.697371147,4.449934686,5.948752813,9.188982929,7.311128079,6.256918929
ENSG00000139218,47.27602139,47.58293293,46.77603213,36.49189053,36.3408011,35.34277644,46.88159803,40.79106796,43.1284579,30.6299431,34.46674666,31.28459464
ENSG00000139219,0,0,0,21.01048243,13.21483676,17.67138822,0.74415235,0.741655781,0.743594102,5.104990516,5.222234342,6.256918929
ENSG00000139233,11.25619557,11.32926974,11.13715051,23.22211216,22.02472794,20.98477351,16.37135169,14.83311562,14.87188203,15.31497155,16.7111499,17.72793696
ENSG00000139263,23.63801069,23.79146646,23.38801607,3.317444594,2.202472794,2.208923528,11.16228524,7.41655781,10.41031742,4.083992413,4.177787474,3.128459464
ENSG00000139266,11.25619557,10.19634277,12.25086556,14.37559324,9.911127572,11.04461764,25.30117989,24.47464077,26.02579356,11.23097914,11.48891555,13.55665768
ENSG00000139278,6.753717341,6.797561847,5.568575254,1.105814865,1.101236397,1.104461764,0.74415235,0,0.743594102,2.041996206,3.133340605,2.085639643
ENSG00000139289,69.78841253,60.04512965,63.48175789,60.81981755,52.85934705,56.32754996,46.88159803,48.20762577,51.30799301,56.15489568,54.31123716,56.31227036
ENSG00000139291,12.38181513,11.32926974,12.25086556,0,1.101236397,1.104461764,4.464914098,4.449934686,4.46156461,1.020998103,0,2.085639643
ENSG00000139318,95.67766233,82.70366913,95.77949437,91.78263376,128.8446584,108.2372529,133.2032706,140.1729426,142.0264734,71.46986722,79.377962,67.78328839
ENSG00000139323,7.879336898,9.063415796,6.682290305,2.211629729,5.506181985,3.313385292,5.209066448,6.674902029,5.948752813,4.083992413,4.177787474,5.214099107
ENSG00000139324,34.89420626,33.98780923,34.52516657,8.846518917,16.51854595,11.04461764,34.23100808,27.4412639,31.23095227,14.29397344,10.44446868,10.42819821
ENSG00000139343,54.02973873,61.17805662,59.02689769,28.75118648,35.2395647,38.65616174,23.06872284,27.4412639,31.23095227,23.48295637,36.5556404,32.32741446
ENSG00000139344,2.251239114,1.132926974,2.227430102,0,1.101236397,0,1.488304699,0.741655781,1.487188203,0,0,1.042819821
ENSG00000139350,34.89420626,28.32317436,31.18402142,6.634889188,5.506181985,7.731232347,17.85965639,19.28305031,20.07704074,12.25197724,11.48891555,12.51383786
ENSG00000139351,0,0,0,0,1.101236397,2.208923528,2.232457049,0,0,1.020998103,2.088893737,0
ENSG00000139354,4.502478227,4.531707898,4.454860203,26.53955675,31.93585551,27.6115441,14.88304699,14.09145984,14.87188203,26.54595068,22.97783111,22.94203607
ENSG00000139370,24.76363025,24.92439344,22.27430102,16.58722297,22.02472794,20.98477351,37.20761748,41.53272374,34.94892278,10.20998103,14.62225616,7.29973875
ENSG00000139372,46.15040183,44.184152,40.09374183,145.9675621,159.6792776,146.8934146,106.413786,102.3484978,113.7698976,154.1707136,144.1336678,136.6093966
ENSG00000139405,25.88924981,24.92439344,25.61544617,5.529074323,4.404945588,3.313385292,8.929828196,17.79973875,15.61547613,7.146986722,8.355574948,10.42819821
ENSG00000139410,4.502478227,3.398780923,4.454860203,6.634889188,7.708654778,13.25354117,5.209066448,7.41655781,4.46156461,0,3.133340605,4.171279286
ENSG00000139428,16.88429335,16.99390462,16.70572576,1.105814865,3.303709191,2.208923528,4.464914098,2.966623124,2.974376407,6.125988619,5.222234342,6.256918929
ENSG00000139433,1223.548458,1231.491621,1191.675104,220.0571581,197.121315,220.8923528,171.8991928,157.2310256,164.3342965,387.9792792,438.6676847,318.0600455
ENSG00000139436,11.25619557,10.19634277,10.02343546,4.423259459,4.404945588,5.522308819,6.697371147,7.41655781,8.92312922,6.125988619,5.222234342,4.171279286
ENSG00000139437,16.88429335,16.99390462,18.93315586,1.105814865,3.303709191,3.313385292,6.697371147,8.158213592,9.666723321,5.104990516,4.177787474,5.214099107
ENSG00000139438,0,0,0,1.105814865,2.202472794,1.104461764,0,0.741655781,0,1.020998103,1.044446868,3.128459464
ENSG00000139496,30.39172804,30.58902831,27.84287627,222.2687878,233.4621161,215.370044,123.52929,121.6315481,121.9494327,146.0027288,134.733646,131.3952975
ENSG00000139505,34.89420626,36.25366318,32.29773647,22.11629729,18.72101875,25.40262057,40.92837923,43.0160353,41.64126969,20.41996206,25.06672484,17.72793696
ENSG00000139508,6.753717341,5.664634872,5.568575254,1.105814865,3.303709191,0,2.232457049,1.483311562,0.743594102,0,2.088893737,0
ENSG00000139514,58.53221696,65.70976452,62.36804284,296.3583837,300.6375364,286.0555968,141.3889464,167.6142065,159.8727319,200.1156282,195.3115644,232.5488202
ENSG00000139517,31.51734759,32.85488226,31.18402142,86.25355944,57.26429264,79.521247,82.60091081,74.90723389,72.87222196,66.36487671,62.66681211,51.09817125
ENSG00000139531,5.628097784,4.531707898,4.454860203,26.53955675,22.02472794,29.82046762,11.90643759,9.641525154,9.666723321,20.41996206,20.88893737,15.64229732
ENSG00000139546,15.7586738,14.72805067,14.47829566,16.58722297,16.51854595,15.46246469,14.88304699,17.79973875,11.89750563,10.20998103,17.75559676,15.64229732
ENSG00000139547,4.502478227,5.664634872,5.568575254,0,0,1.104461764,2.232457049,0,0,2.041996206,3.133340605,2.085639643
ENSG00000139572,1.125619557,0,0,17.69303783,12.11360037,16.56692646,2.232457049,2.224967343,1.487188203,12.25197724,6.266681211,8.342558572
ENSG00000139574,5.628097784,3.398780923,1.113715051,24.32792702,30.83461911,29.82046762,20.83626579,4.449934686,8.92312922,10.20998103,10.44446868,30.24177482
ENSG00000139579,52.90411917,48.7158599,47.88974718,8.846518917,11.01236397,11.04461764,5.209066448,8.158213592,11.15391152,9.188982929,14.62225616,10.42819821
ENSG00000139597,0,0,0,6.634889188,8.809891175,6.626770583,2.976609399,2.224967343,3.717970508,6.125988619,8.355574948,7.29973875
ENSG00000139613,30.39172804,29.45610134,27.84287627,42.02096486,35.2395647,36.44723821,46.88159803,48.94928155,50.56439891,36.75593172,39.688981,44.84125232
ENSG00000139618,1.125619557,1.132926974,1.113715051,1.105814865,1.101236397,1.104461764,0.74415235,0.741655781,0.743594102,1.020998103,1.044446868,2.085639643
ENSG00000139620,32.64296715,35.12073621,36.75259668,116.1105608,123.3384765,120.3863323,71.43862557,64.52405295,66.17987505,168.464687,155.6225834,173.1080904
