gene_id,log2FoldChange
ENSG00000000003,-2.089568413
ENSG00000001497,-1.415802056
ENSG00000001617,-2.36648006
ENSG00000002549,-1.530846138
NA,NA
NA.1,NA
NA.2,NA
ENSG00000003756,1.810000143
ENSG00000004059,-0.810159222
NA.3,NA
ENSG00000004142,-0.914568194
NA.4,NA
ENSG00000004478,0.451267122
ENSG00000004700,1.858467364
NA.5,NA
ENSG00000004777,2.070243917
ENSG00000004779,-0.768133505
NA.6,NA
ENSG00000004897,0.82924063
NA.7,NA
ENSG00000004961,1.032100351
ENSG00000005001,2.29020803
ENSG00000005007,0.489310475
ENSG00000005022,-2.327362619
NA.8,NA
ENSG00000005238,1.398314829
ENSG00000005339,0.894242806
ENSG00000005448,-1.716777413
ENSG00000005469,-3.101115285
ENSG00000005483,0.961004213
ENSG00000005513,6.623463268
ENSG00000005812,1.297311259
ENSG00000005884,0.556765501
ENSG00000005889,1.383627047
NA.9,NA
ENSG00000006015,-2.753861257
NA.10,NA
NA.11,NA
NA.12,NA
ENSG00000006062,2.097112532
ENSG00000006118,1.208882436
ENSG00000006125,1.315641336
ENSG00000006194,1.12248154
ENSG00000006282,1.254828896
NA.13,NA
ENSG00000006327,2.078433326
ENSG00000006432,0.944247247
ENSG00000006453,0.605382547
ENSG00000006459,1.214637146
NA.14,NA
ENSG00000006555,-1.283781801
NA.15,NA
ENSG00000006625,-2.303303463
ENSG00000006652,0.838149559
NA.16,NA
NA.17,NA
ENSG00000007038,1.673950639
ENSG00000007080,-1.985076293
ENSG00000007168,0.495140783
ENSG00000007384,2.217026824
ENSG00000007392,0.993157888
ENSG00000007520,-2.04950761
ENSG00000007545,1.481136552
NA.18,NA
ENSG00000008018,-0.510125817
ENSG00000008128,1.306479447
ENSG00000008130,0.814899117
ENSG00000008282,-1.326590919
ENSG00000008283,-1.391398765
ENSG00000008294,0.802269986
ENSG00000008300,2.551495552
ENSG00000008324,1.052568807
ENSG00000008382,-2.28647759
ENSG00000008394,-2.488765181
ENSG00000008405,3.792882405
ENSG00000008441,-1.648358512
ENSG00000008516,7.463716792
ENSG00000008517,4.747258956
ENSG00000008710,3.12838686
ENSG00000008988,-0.514018884
ENSG00000009307,-0.658887413
NA.19,NA
ENSG00000009954,1.587374677
NA.20,NA
ENSG00000010244,1.398813304
ENSG00000010256,-1.036553333
ENSG00000010270,1.356303751
ENSG00000010278,-0.637468102
NA.21,NA
ENSG00000010310,1.326510818
ENSG00000010322,1.368196187
ENSG00000010438,-2.726937383
NA.22,NA
ENSG00000010803,1.252215628
ENSG00000010810,1.483973012
ENSG00000011007,-0.600899276
ENSG00000011021,1.56138433
ENSG00000011028,1.077459937
ENSG00000011105,-1.097777887
ENSG00000011132,1.242748769
ENSG00000011198,-0.969903446
NA.23,NA
ENSG00000011275,2.626819751
ENSG00000011422,0.998532441
ENSG00000011426,-1.975354323
ENSG00000012061,0.918894144
ENSG00000012171,2.31006407
NA.24,NA
ENSG00000012660,0.558910091
ENSG00000012817,1.459699279
ENSG00000013275,-0.433911885
NA.25,NA
ENSG00000013441,1.45785872
ENSG00000013561,0.835764518
ENSG00000013588,2.561261213
NA.26,NA
ENSG00000014123,-0.8190359
ENSG00000014138,-2.339056029
ENSG00000014216,-0.543986481
NA.27,NA
ENSG00000014641,-1.969900913
NA.28,NA
NA.29,NA
NA.30,NA
ENSG00000016402,-7.50354834
ENSG00000016602,-3.643051457
ENSG00000017483,-0.765319683
ENSG00000017797,-1.39214943
ENSG00000018189,0.906501555
ENSG00000018236,-2.398122571
ENSG00000019144,1.964934245
ENSG00000019186,-2.11789452
ENSG00000020577,1.193363131
ENSG00000021355,3.593025071
NA.31,NA
ENSG00000021826,-2.512807916
ENSG00000022556,-1.118909519
ENSG00000022840,0.431804938
ENSG00000023191,-1.453479358
ENSG00000023287,1.018363239
ENSG00000023330,0.958991172
ENSG00000023697,-1.358234226
ENSG00000023902,3.173005823
ENSG00000023909,3.776863766
ENSG00000024048,1.09498565
ENSG00000024422,-0.672594204
ENSG00000025156,0.800831166
NA.32,NA
ENSG00000025770,1.387685272
ENSG00000025772,0.924602725
ENSG00000026025,3.36598233
ENSG00000026297,-2.750830531
ENSG00000026508,-1.009571659
ENSG00000026652,2.627232454
ENSG00000027001,-2.661569076
ENSG00000027697,-1.169269413
ENSG00000028839,1.126638433
ENSG00000030582,-2.341515773
ENSG00000031003,1.259871027
ENSG00000031698,0.645780163
ENSG00000033011,-2.324844823
ENSG00000033030,1.286414534
ENSG00000033050,-1.003260239
ENSG00000033100,1.50195316
ENSG00000033627,0.856308249
NA.33,NA
ENSG00000034510,-1.652567655
ENSG00000034693,-2.049200531
ENSG00000035403,-0.868700326
ENSG00000035681,0.822278347
ENSG00000035687,-1.17955224
ENSG00000036257,0.707535487
ENSG00000037042,1.08675978
ENSG00000037757,-1.125030553
NA.34,NA
ENSG00000038358,1.899909785
ENSG00000038382,1.624579917
ENSG00000039068,-1.451837632
ENSG00000039523,2.508270265
ENSG00000039650,1.40812434
ENSG00000040199,3.169153213
ENSG00000040487,0.973153601
ENSG00000041353,-3.436568172
NA.35,NA
ENSG00000042286,3.515573125
ENSG00000042429,1.304127701
ENSG00000042493,-1.369521622
ENSG00000042753,-2.784162221
NA.36,NA
ENSG00000043039,-0.930767667
NA.37,NA
ENSG00000044446,1.623427528
NA.38,NA
ENSG00000044574,-0.522785843
ENSG00000046604,2.098334684
ENSG00000046651,1.075519851
NA.39,NA
ENSG00000047056,1.19571542
ENSG00000047315,0.629918933
ENSG00000047346,0.954788592
NA.40,NA
ENSG00000047849,-0.939804505
ENSG00000047932,-0.839150356
ENSG00000048052,1.723132661
ENSG00000048140,1.492443133
ENSG00000048405,0.92862322
ENSG00000048649,0.792107774
ENSG00000049130,-1.676600062
ENSG00000049245,-1.002710166
ENSG00000049246,1.52302975
ENSG00000049283,-2.091538524
ENSG00000049541,-1.148078333
ENSG00000049759,2.876197358
NA.41,NA
ENSG00000049860,-0.586854777
ENSG00000050165,-2.059739823
ENSG00000050327,1.256941757
ENSG00000050344,-2.852031863
ENSG00000050405,-1.991776761
NA.42,NA
ENSG00000050820,2.29346049
ENSG00000051009,0.831859101
ENSG00000051108,0.915569449
ENSG00000051128,0.977404983
ENSG00000051596,-1.665653352
ENSG00000052795,-1.063407667
ENSG00000052802,-0.908863463
ENSG00000053254,-3.302798982
ENSG00000053371,-2.809769293
ENSG00000054116,-0.643282453
ENSG00000054118,0.726298349
ENSG00000054148,-1.466600004
NA.43,NA
ENSG00000054267,1.017773977
ENSG00000054277,-1.945868076
NA.44,NA
ENSG00000054793,1.38320085
ENSG00000054967,2.833832446
ENSG00000055044,0.460718918
ENSG00000055130,0.582935273
ENSG00000055208,0.651802334
ENSG00000055332,1.121911985
ENSG00000055483,1.967074743
ENSG00000055609,1.801775684
ENSG00000055732,4.332687689
ENSG00000055917,1.228063337
ENSG00000055950,-1.252094989
NA.45,NA
ENSG00000056050,-1.430050065
ENSG00000056097,0.78516243
ENSG00000056586,0.990831679
ENSG00000056972,-1.164231727
ENSG00000057149,-3.93007701
ENSG00000057608,-0.688561337
ENSG00000057757,0.892542531
NA.46,NA
ENSG00000058262,-0.490046423
NA.47,NA
ENSG00000058668,-0.843520494
ENSG00000058799,-1.648844159
ENSG00000058804,-1.26179727
NA.48,NA
ENSG00000059378,1.343325721
ENSG00000059588,-2.144085753
ENSG00000059728,0.678163656
ENSG00000059758,0.75178821
ENSG00000059804,1.413331009
NA.49,NA
ENSG00000060140,1.930432582
ENSG00000060237,-0.923152579
ENSG00000060339,0.608553167
ENSG00000060491,1.419672364
ENSG00000060558,-0.693846709
NA.50,NA
ENSG00000060762,-1.363504311
ENSG00000060971,-0.821655245
ENSG00000061273,0.95801372
ENSG00000061676,0.604435274
ENSG00000061794,-0.884966916
ENSG00000062038,-1.340225055
NA.51,NA
ENSG00000062194,1.356462183
ENSG00000062282,-4.382592216
ENSG00000062370,1.391693202
ENSG00000062485,-0.857526578
ENSG00000062582,-1.345845342
ENSG00000062650,1.008389234
ENSG00000062716,0.973202694
ENSG00000063046,-0.702462588
NA.52,NA
ENSG00000063169,1.295849076
ENSG00000063176,1.411713019
ENSG00000063177,-1.850670338
ENSG00000063241,-2.167494404
ENSG00000063587,2.18759023
ENSG00000063660,0.942334569
ENSG00000064102,-1.136313323
ENSG00000064115,-3.379362759
ENSG00000064195,-2.426995723
ENSG00000064199,-2.240985103
ENSG00000064270,-2.355999272
ENSG00000064300,4.087421513
ENSG00000064490,-1.530809509
ENSG00000064545,-1.211991548
ENSG00000064547,1.736042263
ENSG00000064607,1.397132781
ENSG00000064666,-0.813735132
NA.53,NA
NA.54,NA
ENSG00000064932,1.985472238
ENSG00000064995,-0.989043812
ENSG00000065000,0.861819991
ENSG00000065057,-2.231204467
ENSG00000065060,1.184630753
ENSG00000065154,-1.22191538
ENSG00000065183,-1.688259538
ENSG00000065268,-1.002897795
NA.55,NA
ENSG00000065328,-2.71408145
ENSG00000065361,-1.070851427
