"","x"
"1","ENSG00000084207"
"2","ENSG00000096696"
"3","ENSG00000109971"
"4","ENSG00000120738"
"5","ENSG00000128422"
"6","ENSG00000132002"
"7","ENSG00000163191"
"8","ENSG00000167768"
"9","ENSG00000169469"
"10","ENSG00000170465"
"11","ENSG00000185479"
"12","ENSG00000186081"
"13","ENSG00000186395"
"14","ENSG00000186832"
"15","ENSG00000186847"
"16","ENSG00000188293"
"17","ENSG00000196754"
"18","ENSG00000196878"
"19","ENSG00000204389"
"20","ENSG00000205420"
