"","res.df"
"1","DDIT4"
"2","TXNRD1"
"3","SLC2A1"
"4","FTH1"
"5","XBP1"
"6","DSG2"
"7","SDC4"
"8","BHLHE40"
"9","VASP"
"10","GARS1"
"11","SERPINE1"
"12","LRRFIP1"
"13","KRT8"
"14","TRIB3"
"15","CLDN7"
"16","KCTD11"
"17","RALB"
"18","ADM"
"19","SLC7A5"
"20","CERS2"
"21","CMTM4"
"22","KIFC2"
"23","P4HA1"
"24","AGPAT2"
"25","KCTD9"
"26","ANKRD52"
"27","RCOR1"
"28","SLC38A1"
"29","DBN1"
"30","VEGFA"
"31","GFPT1"
"32","DGKQ"
"33","TES"
"34","PLOD2"
"35","DVL1"
"36","NRBP2"
"37","TSPAN17"
"38","PKD1"
"39","PPP3CC"
"40","LRRC42"
"41","TMED5"
"42","PTP4A2"
"43","CTSZ"
"44","TPBG"
"45","PDLIM7"
"46","RASSF1"
"47","PPP1R26"
"48","SMARCA1"
"49","CDC42BPB"
"50","KLF13"
"51","FAM241B"
"52",NA
"53","HCCS"
"54","BNIP3"
"55","ZNF664"
"56","MED30"
"57","KXD1"
"58","VPS9D1"
"59","UBE2Q2"
"60","HUS1"
"61","ABCC3"
"62",NA
"63","KRAS"
"64","FAM219A"
"65","AIFM2"
"66","CSGALNACT2"
"67","DBNDD2"
"68","INF2"
"69","TM4SF19"
"70","CASP3"
"71","ARFGAP3"
"72","SPIRE1"
"73","PAFAH1B2"
"74","SELENOS"
"75","CREB3"
"76","TP53I13"
"77","HSBP1L1"
"78","FUT2"
"79","ATP2B1"
"80","CDC42BPG"
"81","PCNX3"
"82","LZTR1"
"83","JDP2"
"84",NA
"85","SNAPC2"
"86","ITCH"
"87","DOCK9"
"88","CYSTM1"
"89","PARP4"
"90","SNCA"
"91","KDM7A"
"92","CELSR1"
"93","MOAP1"
"94","TMCO3"
"95","MAN2A2"
"96","FUT11"
"97","NPEPL1"
"98","KCTD15"
"99","SMC5"
"100","ENC1"
"101","RAB11FIP3"
"102","SIPA1"
"103","ZNF282"
"104","ATP9A"
"105","RBAK"
"106","TMEM263"
"107","FAAH"
"108","DLK2"
"109","RNF34"
"110","PYCR2"
"111","KDM3A"
"112","OSGIN2"
"113","SNHG3"
"114","CBFB"
"115","MIR210HG"
"116","SUN2"
"117","PDLIM2"
"118","MICA"
"119","CD276"
"120",NA
"121","C1orf210"
"122","NOL4L"
"123","GAN"
"124","ATXN7"
"125","FAM169A"
"126","FPGS"
"127","ZMIZ2"
"128","TFB2M"
"129","BMP1"
"130","ITPRIPL2"
"131","ATP8B2"
"132","LAMA5"
"133","TRIM47"
"134","ZNF160"
"135","NACC2"
"136","SNX10"
"137","DENND6A"
"138","MOB3C"
"139","CTBP1"
"140","MAP3K11"
"141","SPRY2"
"142","PAX8-AS1"
"143","SLC2A3"
"144","TLCD5"
"145","SPART"
"146","KLHL9"
"147","RHPN2"
"148","LEMD2"
"149","CRIP2"
"150","HRH1"
"151","SLC6A9"
"152","ZNF251"
"153","ZNF37A"
"154","CTBP2"
"155","CERS5"
"156","IRF5"
"157","PPFIA4"
"158","WDR44"
"159","TGIF1"
"160","SH2D3A"
"161","OVOL2"
"162","PTP4A3"
"163",NA
"164","FBXO9"
"165","EIF5A2"
"166","PDCD7"
"167","EPPK1"
"168","ARHGEF16"
"169","GPAT4"
"170","KLF12"
"171","TRIM27"
"172",NA
"173",NA
"174","LIMD2"
"175","ZNF514"
"176","LHFPL2"
"177","SLC4A2"
"178","ZC3H7B"
"179","SPATA2L"
"180","SAP30"
"181","GSR"
"182","PLK3"
"183","ZNF778"
"184","IFNE"
"185","EIF2AK2"
"186","PDK1"
"187","CAMK1"
"188",NA
"189","ZNF416"
"190","ZNF319"
"191","ZNF337"
"192","TNRC6A"
"193","CHST3"
"194","ERICH5"
"195","PLXNB3"
"196","RAB6B"
"197","DEAF1"
"198","CACNB1"
"199","AGO4"
"200","MED22"
"201","KDM4B"
