,X,baseMean,log2FoldChange,lfcSE,pvalue,padj
433,ENSG00000111481,93.80249182,-1.261227883,0.220711238,4.66E-09,4.85E-08
913,ENSG00000143545,70.33986454,-1.394619098,0.250041544,8.91E-09,9.04E-08
741,ENSG00000134153,102.2913171,-1.368703448,0.246769805,1.09E-08,1.09E-07
1076,ENSG00000157593,82.39196391,-1.498663292,0.275396628,1.73E-08,1.69E-07
419,ENSG00000110651,119.2705396,-1.046762265,0.189776593,1.86E-08,1.81E-07
228,ENSG00000099797,93.53643855,-1.324569629,0.244456539,2.41E-08,2.29E-07
253,ENSG00000100412,93.07864383,-1.186643572,0.219933902,3.15E-08,2.95E-07
669,ENSG00000129226,72.05749552,-1.452604628,0.272624453,3.39E-08,3.15E-07
865,ENSG00000140497,101.6627352,-1.113366368,0.211878161,7.30E-08,6.50E-07
962,ENSG00000147123,45.34500121,-1.77577287,0.34852356,8.54E-08,7.55E-07
1051,ENSG00000155918,143.6825748,-1.123282974,0.215450644,9.09E-08,8.01E-07
275,ENSG00000101365,84.22964244,-1.237215398,0.238712255,9.51E-08,8.36E-07
901,ENSG00000143222,86.12689956,-1.331222109,0.258819,1.05E-07,9.16E-07
131,ENSG00000075223,38.36444647,-1.670859906,0.329820553,1.12E-07,9.73E-07
139,ENSG00000076043,75.96793456,-1.240819995,0.241069939,1.13E-07,9.85E-07
766,ENSG00000135506,90.09017496,-1.178929282,0.229540932,1.30E-07,1.12E-06
1106,ENSG00000160014,92.78732681,-1.072241542,0.208883235,1.48E-07,1.26E-06
173,ENSG00000087191,73.06301628,-1.209862249,0.237116507,1.51E-07,1.28E-06
266,ENSG00000100911,71.14730796,-1.422399127,0.281846636,1.64E-07,1.39E-06
296,ENSG00000103187,28.73116477,-1.895838907,0.396589712,3.89E-07,3.11E-06
746,ENSG00000134363,21.51954352,-2.404934922,0.519860437,5.87E-07,4.58E-06
490,ENSG00000115685,60.56193084,-1.32746383,0.276996919,6.47E-07,5.01E-06
335,ENSG00000105518,103.7587053,-1.223765294,0.254221137,6.59E-07,5.08E-06
390,ENSG00000108578,31.03193111,-1.846850819,0.400691752,9.42E-07,7.10E-06
358,ENSG00000106588,53.96930167,-1.33808643,0.287230995,1.22E-06,9.01E-06
377,ENSG00000107984,22.92258571,-2.26967081,0.506215613,1.27E-06,9.37E-06
1105,ENSG00000159871,34.29019662,-1.936832006,0.430225796,1.44E-06,1.06E-05
274,ENSG00000101337,48.84159825,-1.355452534,0.293496145,1.46E-06,1.07E-05
393,ENSG00000108840,44.66728777,-1.39987283,0.308027008,1.98E-06,1.41E-05
671,ENSG00000129255,50.10855704,-1.336243497,0.300268568,3.31E-06,2.29E-05
1078,ENSG00000157837,42.60827674,-1.407346071,0.318070848,3.42E-06,2.36E-05
244,ENSG00000100280,73.47251774,-1.077603375,0.242173722,4.43E-06,3.00E-05
993,ENSG00000149136,54.92484222,-1.192686714,0.276713519,7.30E-06,4.78E-05
260,ENSG00000100592,32.83598155,-1.467516745,0.352815993,1.05E-05,6.66E-05
26,ENSG00000016602,11.22330074,-3.643051457,0.906830116,1.10E-05,6.95E-05
630,ENSG00000125871,34.6933487,-1.508793915,0.370857168,1.46E-05,9.04E-05
518,ENSG00000117399,25.79669034,-1.821017204,0.467552452,2.20E-05,0.00013243
