,X,baseMean,log2FoldChange,lfcSE,pvalue,padj,res.df
95,ENSG00000047056,49.39503242,2.583124095,0.360891774,1.59E-13,2.07E-12,WDR37
382,ENSG00000102908,125.4518981,3.336505683,0.25523712,9.33E-40,4.24E-38,NFAT5
445,ENSG00000105376,7.126639937,3.432103271,1.471240383,0.001642091,0.005642641,ICAM5
458,ENSG00000105656,90.889651,2.596807271,0.287536891,3.22E-20,6.63E-19,ELL
674,ENSG00000118495,21.6060493,1.341952318,0.486102894,0.002153182,0.007132479,PLAGL1
1035,ENSG00000140829,189.9685448,2.522886543,0.192244009,4.95E-40,2.28E-38,DHX38
1048,ENSG00000141448,3.857237166,3.771285672,2.543823537,0.003374459,0.010581126,GATA6
1567,ENSG00000170260,59.40494227,1.817422276,0.330256,1.01E-08,8.46E-08,ZNF212
1811,ENSG00000183741,29.85154257,1.59213304,0.542648565,0.001068282,0.00385722,CBX6
