ID,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000000419,203.6403105,0.980143098,0.173835964,1.02E-08,8.56E-08
ENSG00000001036,17.11447936,-1.221739452,0.51765443,0.007232147,0.020305926
ENSG00000001167,59.46581902,1.130306176,0.28798789,4.29E-05,0.000212662
ENSG00000001617,43.28520678,-1.79479589,0.323620456,7.26E-09,6.17E-08
ENSG00000002330,34.7954423,-1.404711669,0.391815065,0.000118982,0.000535887
ENSG00000002549,19.75618011,-1.37443196,0.460789647,0.000987053,0.003602574
ENSG00000002834,60.09962147,-0.592006425,0.263652622,0.019528694,0.047593077
ENSG00000003393,37.97997432,1.185179742,0.350089245,0.000325799,0.001336116
ENSG00000003756,329.4520657,4.420826429,0.196822252,4.03E-112,6.62E-110
ENSG00000004059,164.9476585,-0.430107913,0.167295888,0.009088275,0.024805814
ENSG00000004142,120.1023774,-0.854494318,0.201433154,1.45E-05,7.83E-05
ENSG00000004455,35.1765893,-1.113937386,0.343996403,0.000579059,0.002230256
ENSG00000004478,463.2118476,1.381238881,0.112755286,6.82E-35,2.67E-33
ENSG00000004534,54.75722651,1.090753807,0.283311772,6.10E-05,0.000293077
ENSG00000004700,535.5616253,4.375311392,0.169979499,1.01E-146,2.44E-144
ENSG00000004777,8.918150201,2.727889677,1.058944186,0.00175052,0.005964735
ENSG00000004779,81.62333391,-1.043575359,0.269057681,5.58E-05,0.000270331
ENSG00000004864,36.11804361,-1.020318557,0.339501751,0.001395392,0.004886175
ENSG00000004961,110.9153676,0.777979775,0.208783513,0.000137885,0.000612624
ENSG00000005001,72.74185816,3.719597935,0.354359194,1.68E-26,4.71E-25
ENSG00000005007,106.896141,1.083339968,0.212760238,1.88E-07,1.36E-06
ENSG00000005020,15.97297979,-1.065388701,0.519652261,0.01878364,0.04610712
ENSG00000005022,392.1436011,-1.652356636,0.134052617,1.93E-35,7.70E-34
ENSG00000005075,47.66313564,-0.690986357,0.309952065,0.018796827,0.046114883
ENSG00000005238,151.9240852,2.009592901,0.19795133,8.35E-25,2.13E-23
ENSG00000005243,10.52580508,-1.649480942,0.689504142,0.004126941,0.012591594
ENSG00000005339,84.68687422,2.400647499,0.276542415,8.00E-19,1.51E-17
ENSG00000005469,7.102626766,-3.243042961,1.027816557,0.000175626,0.000765279
ENSG00000005483,59.79104463,1.635428216,0.29856735,1.36E-08,1.13E-07
ENSG00000005513,16.86399667,5.530391381,2.269256678,1.46E-05,7.88E-05
ENSG00000005812,43.26739689,0.965911036,0.331978375,0.002094392,0.006962807
ENSG00000005889,34.3641527,2.049540152,0.417770842,2.18E-07,1.57E-06
ENSG00000005893,93.57807331,-0.503964498,0.211913051,0.014444839,0.036846354
ENSG00000006007,54.02002869,-1.35407255,0.300245682,2.42E-06,1.49E-05
ENSG00000006062,20.86414495,1.277718202,0.519789674,0.005487686,0.016044505
ENSG00000006118,22.62825471,1.080405746,0.472458901,0.010624625,0.02831592
