"","x"
"1","ENSG00000086061"
"2","ENSG00000087074"
"3","ENSG00000108654"
"4","ENSG00000109971"
"5","ENSG00000120694"
"6","ENSG00000120738"
"7","ENSG00000130066"
"8","ENSG00000132002"
"9","ENSG00000140403"
"10","ENSG00000143384"
"11","ENSG00000163191"
"12","ENSG00000167768"
"13","ENSG00000170345"
"14","ENSG00000177606"
"15","ENSG00000186081"
"16","ENSG00000186847"
"17","ENSG00000204388"
"18","ENSG00000204389"
"19","ENSG00000205420"
"20","ENSG00000198435"
