gene_id,log2FoldChange
ENSG00000000003,-2.704550592
ENSG00000000419,0.890582911
ENSG00000001036,-2.347370432
ENSG00000001167,0.642456272
ENSG00000001497,-1.11357943
ENSG00000001617,-2.769188214
ENSG00000001630,-0.910913025
ENSG00000002330,-2.108028732
ENSG00000002549,-2.235101064
NA,NA
ENSG00000002834,-0.669327138
ENSG00000003056,0.666493779
NA.1,NA
ENSG00000003393,0.90584378
NA.2,NA
ENSG00000003756,4.177632547
ENSG00000004059,-0.672359528
ENSG00000004142,-0.861160212
ENSG00000004455,-1.12728126
ENSG00000004478,1.744224851
ENSG00000004700,4.55496164
NA.3,NA
ENSG00000004777,3.229949901
ENSG00000004779,-1.498608511
NA.4,NA
ENSG00000004864,-1.364265968
NA.5,NA
ENSG00000004961,0.782184175
ENSG00000005001,2.705913982
ENSG00000005007,1.214932488
ENSG00000005020,-1.336175321
ENSG00000005022,-2.315775563
NA.6,NA
ENSG00000005075,-0.792402791
ENSG00000005238,2.325390473
ENSG00000005243,-1.275402456
ENSG00000005339,2.752808016
ENSG00000005469,-3.448784583
ENSG00000005483,2.07135473
ENSG00000005513,7.985478219
ENSG00000005700,-0.867391569
ENSG00000005812,1.225091834
ENSG00000005889,2.291560193
ENSG00000005893,-0.908822495
ENSG00000006007,-1.657959084
ENSG00000006015,-3.065217983
NA.7,NA
NA.8,NA
NA.9,NA
ENSG00000006062,1.466209915
ENSG00000006118,1.436784581
ENSG00000006125,1.387431326
ENSG00000006128,2.578807039
ENSG00000006194,1.633094785
NA.10,NA
ENSG00000006327,1.94251594
ENSG00000006432,1.607235695
ENSG00000006451,-0.635052705
ENSG00000006453,1.253074951
ENSG00000006459,0.870031305
NA.11,NA
ENSG00000006555,-3.453253756
NA.12,NA
ENSG00000006625,-2.108105727
ENSG00000006652,2.528031589
ENSG00000006704,0.683722675
NA.13,NA
ENSG00000006744,-1.553947326
NA.14,NA
ENSG00000006757,-1.868315557
ENSG00000007080,-1.607534143
ENSG00000007168,0.585466732
ENSG00000007202,-1.420530961
ENSG00000007376,-1.60728682
ENSG00000007384,3.143098076
ENSG00000007392,1.622730865
ENSG00000007520,-2.61574306
ENSG00000007545,2.026456841
ENSG00000007944,2.344593379
NA.15,NA
ENSG00000008056,4.851985053
ENSG00000008128,2.260675598
ENSG00000008256,0.794396182
ENSG00000008282,-1.669528255
ENSG00000008283,-1.85494693
ENSG00000008294,1.99377956
ENSG00000008300,5.773094222
ENSG00000008311,2.863106958
ENSG00000008324,1.246417854
ENSG00000008382,-2.198250603
ENSG00000008394,-3.068031164
ENSG00000008405,5.996571167
ENSG00000008441,-2.360204004
ENSG00000008516,8.564697038
ENSG00000008517,7.098371281
ENSG00000008735,1.66853598
ENSG00000008838,0.82097173
ENSG00000008988,-1.164950009
NA.16,NA
ENSG00000009954,1.549725658
NA.17,NA
ENSG00000010244,2.383180728
ENSG00000010256,-1.347874375
ENSG00000010270,1.330273206
ENSG00000010278,-1.869219265
ENSG00000010295,2.69988944
ENSG00000010322,1.462080179
ENSG00000010379,2.730568062
ENSG00000010438,-2.551954452
NA.18,NA
ENSG00000010810,1.829976584
ENSG00000010818,1.972414787
ENSG00000011021,1.98369515
ENSG00000011114,0.772405719
ENSG00000011132,1.951600921
NA.19,NA
ENSG00000011243,1.761402734
ENSG00000011275,1.95091628
ENSG00000011304,1.026371405
ENSG00000011566,1.328958559
ENSG00000011638,-1.564624878
ENSG00000012061,1.572104093
ENSG00000012211,-2.380371759
NA.20,NA
ENSG00000012660,1.764407
ENSG00000012817,2.373009781
ENSG00000013275,1.206131939
NA.21,NA
ENSG00000013364,-1.05656985
ENSG00000013374,-0.994768653
ENSG00000013375,1.394221333
ENSG00000013441,3.723534989
ENSG00000013503,-2.411400672
ENSG00000013523,-1.839063363
ENSG00000013563,-2.042200954
ENSG00000013583,-2.015628515
ENSG00000013588,3.283846656
NA.22,NA
ENSG00000013810,3.20413903
ENSG00000014216,-1.221418961
NA.23,NA
ENSG00000014641,-2.099601791
ENSG00000014824,-1.715794572
ENSG00000014914,1.707730047
ENSG00000014919,-2.093681643
NA.24,NA
ENSG00000015479,4.67798376
ENSG00000016402,-4.73946577
ENSG00000016864,-1.565868562
ENSG00000017483,-1.013299763
ENSG00000017797,-1.972507068
ENSG00000018236,-2.800495478
ENSG00000018510,-1.091796154
ENSG00000019144,2.626194197
ENSG00000019549,-0.88376522
ENSG00000019995,0.712351815
ENSG00000020577,2.137158728
ENSG00000021355,0.918630985
NA.25,NA
ENSG00000021826,-2.76108951
ENSG00000022556,-1.580660845
ENSG00000022840,1.476576125
ENSG00000023191,-1.636237092
ENSG00000023287,1.17321005
ENSG00000023330,2.075498581
ENSG00000023445,3.4568565
ENSG00000023608,1.612514634
ENSG00000023697,-2.136557936
ENSG00000023892,-1.267165191
ENSG00000023902,3.203386468
ENSG00000023909,2.605216805
ENSG00000024048,1.615409006
ENSG00000024422,-1.434953012
ENSG00000025156,2.054185567
NA.26,NA
ENSG00000025770,1.981356889
ENSG00000025772,1.845485964
ENSG00000025796,-0.740726285
ENSG00000026025,3.820826883
ENSG00000026508,-1.742499311
ENSG00000026652,4.59758159
ENSG00000026950,2.746597061
ENSG00000027001,-1.857429952
ENSG00000027697,-1.754718833
ENSG00000028277,4.724515144
ENSG00000028839,1.625014303
ENSG00000029363,0.936291025
ENSG00000029364,1.201903018
ENSG00000029725,0.886233422
ENSG00000030110,-1.086974587
ENSG00000030582,-1.414459489
ENSG00000031003,1.090830146
ENSG00000032219,1.169032689
ENSG00000032389,-1.428947388
ENSG00000033011,-2.694293605
ENSG00000033030,1.925729782
ENSG00000033050,-1.081880575
ENSG00000033100,1.223476959
ENSG00000033178,1.324231669
ENSG00000033327,1.191763286
ENSG00000033627,1.24401282
NA.27,NA
ENSG00000034152,0.939126096
ENSG00000034510,-2.171455542
ENSG00000034693,-3.531004756
ENSG00000034713,0.966268448
ENSG00000035141,-1.687017067
ENSG00000035687,-1.489230305
ENSG00000036054,0.628055213
