"","x"
"1","ENSG00000084207"
"2","ENSG00000086061"
"3","ENSG00000087074"
"4","ENSG00000096384"
"5","ENSG00000109971"
"6","ENSG00000115758"
"7","ENSG00000120694"
"8","ENSG00000120738"
"9","ENSG00000128422"
"10","ENSG00000130066"
"11","ENSG00000132002"
"12","ENSG00000140403"
"13","ENSG00000143384"
"14","ENSG00000150991"
"15","ENSG00000161011"
"16","ENSG00000163191"
"17","ENSG00000167768"
"18","ENSG00000170315"
"19","ENSG00000170345"
"20","ENSG00000175793"
