,X,baseMean,log2FoldChange,lfcSE,pvalue,padj,res.df
95,ENSG00000047056,49.39503242,2.56024451,0.361961276,2.94E-13,3.11E-12,WDR37
426,ENSG00000102908,125.4518981,3.077000261,0.25700326,9.61E-34,2.86E-32,NFAT5
501,ENSG00000105376,7.126639937,3.311193663,1.47720256,0.00212117,0.006258056,ICAM5
518,ENSG00000105656,90.889651,2.860409702,0.286479354,3.16E-24,6.31E-23,ELL
774,ENSG00000118495,21.6060493,1.564842028,0.487759016,0.000406726,0.001424277,PLAGL1
1217,ENSG00000140829,189.9685448,3.008079799,0.19049352,6.23E-57,3.17E-55,DHX38
1233,ENSG00000141448,3.857237166,2.585028373,2.516802717,0.013173029,0.0309501,GATA6
1869,ENSG00000170260,59.40494227,2.431312563,0.32612482,1.68E-14,1.92E-13,ZNF212
2165,ENSG00000183741,29.85154257,3.508409806,0.519932434,2.91E-12,2.85E-11,CBX6
