"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000125144",1176.87838452686,-1.08108572987682,0.0881445203562922,-12.2649227145026,1.3974556229255e-34,2.99404867211789e-32
"ENSG00000160182",81.7795529257108,2.19172398945999,0.194717325196861,11.2559269558789,2.16537331894836e-29,3.71144986867749e-27
"ENSG00000163586",115.772033267407,1.26698297019278,0.150363721582239,8.42612138659944,3.57311515297189e-17,3.82769960762113e-15
"ENSG00000168209",93.4578680415271,1.17773001829849,0.170718095950786,6.89868295296593,5.24868632404748e-12,2.99874945313913e-10
"ENSG00000182853",102.139778724205,1.07147997782222,0.198964202083904,5.38529025120995,7.23278356616872e-08,2.33905491177607e-06
"ENSG00000198417",137.44634488312,-1.04728352676383,0.15617517267138,-6.70582595716088,2.00270306788081e-11,1.07269783073366e-09
"ENSG00000205358",1062.07633641943,-1.12583120802145,0.085270228200148,-13.2030983355513,8.41993011392616e-40,3.60794005381736e-37
"ENSG00000205364",130.114253324839,-1.26585570165804,0.17890460703078,-7.07559029734905,1.48813922029602e-12,9.44692823550882e-11
