"","x"
"1","ENSG00000171560"
"2","ENSG00000115758"
"3","ENSG00000145192"
"4","ENSG00000205358"
"5","ENSG00000164266"
"6","ENSG00000171564"
"7","ENSG00000175899"
"8","ENSG00000125144"
"9","ENSG00000171557"
"10","ENSG00000160182"
"11","ENSG00000174992"
"12","ENSG00000044574"
"13","ENSG00000197249"
"14","ENSG00000169715"
"15","ENSG00000125148"
"16","ENSG00000163586"
"17","ENSG00000234906"
"18","ENSG00000155465"
"19","ENSG00000130208"
"20","ENSG00000109321"
