"gene_id","gene_name"
"ENSG00000044574","HSPA5"
"ENSG00000109321","AREG"
"ENSG00000115758","ODC1"
"ENSG00000125144","MT1G"
"ENSG00000125148","MT2A"
"ENSG00000130208","APOC1"
"ENSG00000145192","AHSG"
"ENSG00000155465","SLC7A7"
"ENSG00000160182","TFF1"
"ENSG00000163586","FABP1"
"ENSG00000164266","SPINK1"
"ENSG00000169715","MT1E"
"ENSG00000171557","FGG"
"ENSG00000171560","FGA"
"ENSG00000171564","FGB"
"ENSG00000174992","ZG16"
"ENSG00000175899","A2M"
"ENSG00000197249","SERPINA1"
"ENSG00000205358","MT1H"
"ENSG00000234906","APOC2"
