,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240
ENSG00000198900,110.6193445,97.95676731,111.4978992,113.2863252,115.0959852,118.498601,112.8386457,115.8946446,112.8222125,128.1950344,129.0411528,143.6304826
ENSG00000198901,5.822070765,6.059181483,5.920242435,6.895689358,7.737545225,6.689437152,7.91850145,6.993642347,5.938011185,7.416241661,7.343805444,8.266502597
ENSG00000198909,14.55517691,13.12822655,13.81389902,12.80628024,13.54070414,14.33450818,15.8370029,13.98728469,13.85535943,12.71355713,12.58938076,11.36644107
ENSG00000198910,0.970345128,2.019727161,1.973414145,2.955295439,2.901579459,2.866901637,1.979625362,1.998183528,1.979337062,3.178389283,3.14734519,3.099938474
ENSG00000198911,147.4924594,169.6570815,158.8598387,164.5114461,157.652484,161.5021255,157.3802163,161.8528658,159.3366335,149.3842963,148.974339,143.6304826
ENSG00000198912,9.703451276,8.078908644,8.880363653,10.83608328,7.737545225,9.556338788,7.91850145,8.991825875,9.896685308,12.71355713,10.49115063,12.3997539
ENSG00000198915,12.61448666,14.13809013,9.867070725,14.77647719,12.57351099,14.33450818,11.87775217,12.98819293,13.85535943,16.95140951,13.63849582,12.3997539
ENSG00000198917,48.51725638,56.55236051,51.30876777,51.22512094,45.4580782,48.73732782,56.41932283,47.95640467,48.49375801,49.79476543,53.50486823,48.56570276
ENSG00000198918,4.851725638,8.078908644,8.880363653,7.880787837,9.671931531,9.556338788,7.91850145,10.9900094,7.917348246,14.83248332,9.442035571,9.299815422
ENSG00000198919,10.6737964,9.088772225,9.867070725,9.850984797,9.671931531,10.51197267,10.88793949,9.990917639,9.896685308,9.535167849,9.442035571,9.299815422
ENSG00000198920,8.733106148,7.069045064,7.89365658,9.850984797,11.60631784,9.556338788,9.898126812,8.991825875,7.917348246,8.475704755,8.392920507,10.33312825
ENSG00000198924,5.822070765,5.049317903,3.94682829,4.925492398,6.770352072,5.733803273,4.949063406,5.994550583,4.948342654,5.297315472,5.245575317,7.233189773
ENSG00000198925,51.42829176,61.60167841,56.24230314,56.15061334,50.29404396,50.64859558,53.44988479,58.94641407,51.4627636,47.67583925,53.50486823,48.56570276
ENSG00000198929,2.911035383,3.029590742,3.94682829,2.955295439,2.901579459,3.822535515,3.959250725,2.997275292,2.969005592,2.118926189,2.098230127,3.099938474
ENSG00000198930,9.703451276,10.09863581,11.84048487,11.82118176,13.54070414,14.33450818,8.908314131,8.991825875,12.8656909,11.65409404,13.63849582,11.36644107
ENSG00000198931,105.7676189,136.3315834,119.3915558,129.0479008,129.6038825,130.9218414,125.7062105,115.8946446,125.6879034,116.5409404,126.9429227,102.2979696
ENSG00000198932,4.851725638,3.029590742,4.933535363,4.925492398,6.770352072,4.778169394,3.959250725,4.99545882,4.948342654,6.356778566,6.294690381,6.199876948
ENSG00000198933,23.28828306,28.27618026,24.66767681,26.59765895,23.21263567,24.84648085,24.74531703,22.97911057,26.72105033,22.24872498,24.12964646,22.73288214
ENSG00000198934,1.940690255,1.009863581,1.973414145,0.98509848,1.934386306,2.866901637,1.979625362,0.999091764,1.979337062,1.059463094,1.049115063,0
ENSG00000198937,47.54691125,49.48331545,64.13595972,65.01649966,57.06439603,60.20493437,58.39894819,58.94641407,59.38011185,52.97315472,61.89778874,55.79889253
ENSG00000198938,4464.557932,4948.331545,4648.377019,4922.537103,4826.293834,4935.848984,4858.000639,5106.358005,4797.913037,5304.731713,4990.640357,5194.46357
ENSG00000198939,3.88138051,3.029590742,2.960121218,1.970196959,2.901579459,3.822535515,2.969438044,3.996367056,1.979337062,3.178389283,3.14734519,3.099938474
ENSG00000198944,14.55517691,13.12822655,12.82719194,10.83608328,10.63912468,8.60070491,13.85737754,10.9900094,12.8656909,12.71355713,13.63849582,13.43306672
ENSG00000198945,8.733106148,6.059181483,6.906949508,8.865886317,7.737545225,8.60070491,6.928688768,6.993642347,7.917348246,7.416241661,9.442035571,8.266502597
ENSG00000198947,7.762761021,8.078908644,6.906949508,7.880787837,7.737545225,6.689437152,6.928688768,6.993642347,7.917348246,7.416241661,7.343805444,9.299815422
ENSG00000198948,4.851725638,4.039454322,4.933535363,3.940393919,3.868772612,4.778169394,4.949063406,3.996367056,3.958674123,3.178389283,3.14734519,4.133251299
ENSG00000198951,30.08069895,37.36495248,32.56133339,31.52315135,29.01579459,29.62465024,33.65363116,34.96821174,35.62806711,45.55691306,41.96460254,40.29920016
ENSG00000198952,98.00485789,111.0849939,104.5909497,97.52474949,99.62089477,103.2084589,101.9507062,109.900094,103.9151957,100.648994,97.5677009,103.3312825
ENSG00000198954,25.22897332,22.21699877,22.69426267,20.68706807,22.24544252,23.89084697,21.77587899,19.98183528,21.77270768,24.36765117,27.27699165,25.83282062
ENSG00000198959,33.96207947,37.36495248,35.52145461,40.38903767,39.65491928,38.22535515,33.65363116,33.96911997,36.61773564,33.90281902,34.62079709,36.16594886
ENSG00000198960,16.49586717,14.13809013,16.77402023,16.74667415,18.37666991,16.24577594,15.8370029,17.98365175,17.81403355,20.12979879,16.78584101,20.66625649
ENSG00000198961,97.03451276,78.76935928,94.72387896,88.65886317,96.71931531,93.65212013,91.06276667,93.91462581,89.07016777,98.53006778,101.7641612,107.4645338
ENSG00000198964,47.54691125,45.44386112,47.36193948,44.32943158,42.55649874,44.91479231,41.57213261,45.95822114,40.57640976,40.25959759,41.96460254,42.36582581
ENSG00000203279,8.733106148,9.088772225,11.84048487,10.83608328,5.803158919,10.51197267,9.898126812,9.990917639,10.88635384,8.475704755,7.343805444,10.33312825
ENSG00000203280,1.940690255,5.049317903,1.973414145,0.98509848,5.803158919,3.822535515,3.959250725,1.998183528,1.979337062,1.059463094,3.14734519,2.066625649
ENSG00000203288,6.792415893,4.039454322,4.933535363,5.910590878,5.803158919,2.866901637,3.959250725,7.992734111,3.958674123,4.237852377,4.196460254,3.099938474
ENSG00000203307,0,1.009863581,0,0,0,0.955633879,0.989812681,0,0,1.059463094,1.049115063,1.033312825
ENSG00000203326,18.43655742,17.16768087,16.77402023,18.71687111,19.34386306,19.11267758,20.78606631,19.98183528,17.81403355,18.0108726,17.83495608,16.53300519
ENSG00000203392,2.911035383,2.019727161,1.973414145,0.98509848,2.901579459,1.911267758,1.979625362,1.998183528,1.979337062,2.118926189,2.098230127,2.066625649
ENSG00000203434,1.940690255,1.009863581,1.973414145,0,0.967193153,1.911267758,0.989812681,0.999091764,0.989668531,0,0,0
ENSG00000203441,0.970345128,1.009863581,0.986707073,0.98509848,0.967193153,0.955633879,1.979625362,1.998183528,1.979337062,0,1.049115063,2.066625649
ENSG00000203485,43.66553074,56.55236051,43.41511119,50.24002246,47.3924645,49.6929617,48.50082138,43.96003761,49.48342654,47.67583925,49.30840798,45.46576429
ENSG00000203497,3.88138051,2.019727161,6.906949508,3.940393919,2.901579459,0.955633879,2.969438044,3.996367056,5.938011185,4.237852377,5.245575317,3.099938474
ENSG00000203499,4.851725638,5.049317903,4.933535363,4.925492398,3.868772612,3.822535515,3.959250725,4.99545882,4.948342654,4.237852377,5.245575317,4.133251299
ENSG00000203593,0,2.019727161,0.986707073,0,0,0,0,0,0,1.059463094,1.049115063,1.033312825
ENSG00000203618,0.970345128,1.009863581,0.986707073,0,0.967193153,0,0.989812681,0,0.989668531,1.059463094,1.049115063,1.033312825
ENSG00000203635,0.970345128,0,0.986707073,0,0.967193153,0.955633879,0.989812681,0,0,0,1.049115063,1.033312825
ENSG00000203644,2.911035383,2.019727161,2.960121218,5.910590878,4.835965765,3.822535515,2.969438044,2.997275292,3.958674123,1.059463094,4.196460254,1.033312825
ENSG00000203645,1.940690255,4.039454322,1.973414145,1.970196959,2.901579459,1.911267758,0.989812681,1.998183528,0.989668531,1.059463094,1.049115063,1.033312825
ENSG00000203650,0.970345128,1.009863581,0,0,0.967193153,0.955633879,0.989812681,0,0.989668531,0,0,1.033312825
ENSG00000203666,0.970345128,1.009863581,0.986707073,0.98509848,1.934386306,0.955633879,1.979625362,0.999091764,0.989668531,2.118926189,1.049115063,2.066625649
ENSG00000203667,13.58483179,10.09863581,11.84048487,10.83608328,13.54070414,12.42324042,10.88793949,10.9900094,11.87602237,13.77302023,13.63849582,11.36644107
ENSG00000203668,14.55517691,12.11836297,12.82719194,11.82118176,11.60631784,13.3788743,11.87775217,10.9900094,10.88635384,9.535167849,10.49115063,10.33312825
ENSG00000203684,0,2.019727161,0,0.98509848,0.967193153,0.955633879,0,1.998183528,0,0,0,0
ENSG00000203685,2.911035383,3.029590742,1.973414145,1.970196959,1.934386306,1.911267758,1.979625362,2.997275292,1.979337062,3.178389283,2.098230127,2.066625649
ENSG00000203697,2.911035383,3.029590742,2.960121218,3.940393919,3.868772612,2.866901637,2.969438044,2.997275292,3.958674123,4.237852377,4.196460254,4.133251299
ENSG00000203705,6.792415893,7.069045064,7.89365658,8.865886317,7.737545225,7.645071031,9.898126812,7.992734111,5.938011185,8.475704755,7.343805444,7.233189773
ENSG00000203709,0.970345128,1.009863581,0.986707073,1.970196959,0.967193153,1.911267758,0.989812681,0.999091764,0.989668531,1.059463094,2.098230127,1.033312825
ENSG00000203711,1.940690255,1.009863581,0,1.970196959,0.967193153,0.955633879,0.989812681,0,0.989668531,1.059463094,1.049115063,0
ENSG00000203721,2.911035383,4.039454322,1.973414145,2.955295439,3.868772612,2.866901637,1.979625362,2.997275292,2.969005592,2.118926189,3.14734519,3.099938474
ENSG00000203722,1.940690255,1.009863581,0.986707073,0.98509848,0.967193153,1.911267758,0,0.999091764,0.989668531,1.059463094,2.098230127,1.033312825
ENSG00000203724,3.88138051,9.088772225,5.920242435,7.880787837,5.803158919,3.822535515,3.959250725,4.99545882,8.907016777,4.237852377,5.245575317,6.199876948
ENSG00000203727,3.88138051,3.029590742,4.933535363,4.925492398,3.868772612,3.822535515,3.959250725,2.997275292,2.969005592,4.237852377,3.14734519,4.133251299
ENSG00000203739,9.703451276,8.078908644,7.89365658,8.865886317,7.737545225,8.60070491,8.908314131,6.993642347,7.917348246,5.297315472,5.245575317,5.166564123
ENSG00000203740,0,1.009863581,0,0,0.967193153,0,1.979625362,0,1.979337062,0,0,1.033312825
ENSG00000203760,6.792415893,14.13809013,11.84048487,17.73177263,16.4422836,15.29014206,12.86756486,16.98455999,15.83469649,21.18926189,15.73672595,14.46637955
ENSG00000203778,1.940690255,1.009863581,1.973414145,1.970196959,1.934386306,2.866901637,0.989812681,2.997275292,1.979337062,3.178389283,3.14734519,1.033312825
