"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",57.4337107902945,-0.0450674063610145,0.217818297722148,-0.206903675367544,0.836085086099167,1
"ENSG00000000419",73.8605051321359,0.0891684142348742,0.201835768548241,0.441786977978395,0.658643362572906,1
"ENSG00000000457",5.23145237260757,-0.086461887486625,0.706683107014536,-0.122348881172345,0.902622721172854,1
"ENSG00000000460",4.08059815437438,0.246571921314886,0.804761161880139,0.306391427661379,0.759306634461298,1
"ENSG00000001036",316.566946506134,-0.01713182992756,0.0955644171590232,-0.179269967178807,0.857725727536785,1
"ENSG00000001084",24.8837963027281,-0.0326174287573809,0.328989865484804,-0.0991441748800237,0.921023798361222,1
"ENSG00000001167",36.073675747534,0.118043317222528,0.278113191235336,0.424443431461118,0.671242452123797,1
"ENSG00000001460",3.9093732354491,0.00532215157573242,0.808423641917318,0.00658336953519817,0.99474726903272,1
"ENSG00000001461",26.9341203753058,-0.244359929296253,0.308080347926993,-0.793169479781813,0.427679086686228,1
"ENSG00000001497",14.1547926808857,0.113000200785834,0.438443962171289,0.257730087617646,0.796615223785599,1
"ENSG00000001561",17.2702927035961,-0.0465411689598957,0.392425813409539,-0.118598643028931,0.905593340471225,1
"ENSG00000001617",3.16217279671845,0.00692417589916695,0.887746871418107,0.00779971872849984,0.993776787946808,1
"ENSG00000001626",54.6551697258897,-0.0787432439652207,0.220230070666559,-0.357549919168135,0.720680162418177,1
"ENSG00000001629",30.1901033235667,-0.0901971833638186,0.300832231410692,-0.299825530465459,0.764310240213556,1
"ENSG00000001630",406.072249974012,-0.0452284520171776,0.0935868914460855,-0.483277639830929,0.628898614426237,1
"ENSG00000001631",13.6672135217131,0.0443804128604635,0.446723791919249,0.0993464276209534,0.920863216807116,1
"ENSG00000002016",9.06210878864209,0.177318392330014,0.553248831298863,0.320503871492549,0.74858639600783,1
"ENSG00000002330",55.434922003501,-0.0216981859421345,0.229350777742265,-0.0946069865370939,0.924627000276462,1
"ENSG00000002549",45.8297282378991,-0.0966756674369087,0.240182416180226,-0.402509346747374,0.687309211022314,1
